name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Michael Estrada,Centre-Forward,26,3,Mexico,Liga MX Apertura,Deportivo Toluca,Mexico,Liga MX Apertura,CD Cruz Azul,loan transfer
Jean Marcelin,Centre-Back,22,3,Monaco,Ligue 1,AS Monaco,Belgium,Jupiler Pro League,Cercle Brugge ,loan transfer
Romário Baró,Central Midfield,22,3,Portugal,Liga Portugal,FC Porto,Portugal,Liga Portugal,Casa Pia AC,loan transfer
Mario González,Centre-Forward,26,3,Portugal,Liga Portugal,SC Braga,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,loan transfer
Gabriel Vidovic,Attacking Midfield,18,3,Germany,Bundesliga,Bayern Munich,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Yvan Neyou,Defensive Midfield,25,3,France,Ligue 2,AS Saint-Étienne,Spain,LaLiga2,CD Leganés,loan transfer
Edouard Michut,Attacking Midfield,19,3,France,Ligue 1,Paris Saint-Germain,England,Championship,Sunderland AFC,loan transfer
Joe Bryan,Left-Back,28,3,England,Premier League,Fulham FC,France,Ligue 1,OGC Nice,loan transfer
Kristoffer Olsson,Central Midfield,27,3,Belgium,Jupiler Pro League,RSC Anderlecht,Denmark,Superligaen,FC Midtjylland,loan transfer
Wahid Faghir,Centre-Forward,19,3,Germany,Bundesliga,VfB Stuttgart,Denmark,Superligaen,FC Nordsjaelland,loan transfer
Halil Dervisoglu,Centre-Forward,22,3,England,Premier League,Brentford FC,England,Championship,Burnley FC,loan transfer
Hernani,Central Midfield,-,3,Italy,Serie B,Parma Calcio 1913,Italy,Serie B,Reggina 1914,loan transfer
Hernani,Central Midfield,28,3,Italy,Serie B,Parma Calcio 1913,Italy,Serie B,Reggina 1914,loan transfer
Ignacio Pussetto,Right Winger,26,3,England,Championship,Watford FC,Italy,Serie A,UC Sampdoria,loan transfer
Manu Vallejo,Left Winger,25,3,Spain,LaLiga,Valencia CF,Spain,LaLiga,Girona FC,free transfer
Michal Helik,Centre-Back,26,3,England,League One,Barnsley FC,England,Championship,Huddersfield Town,?
Marcelo,Left-Back,34,3,Spain,LaLiga,Real Madrid,Greece,Super League 1,Olympiacos Piraeus,free transfer
Scott Twine,Attacking Midfield,22,-,England,League One,Milton Keynes Dons,England,Championship,Burnley FC,2
Marcelo Allende,Attacking Midfield,23,1,Uruguay,Primera División,Montevideo City Torque,South Africa,DStv Premiership,Mamelodi Sundowns FC,2
Merlin Röhl,Central Midfield,20,0.8,Germany,3. Liga,FC Ingolstadt 04,Germany,Bundesliga,SC Freiburg,2
Alex Teixeira,Attacking Midfield,32,2,Turkey,Süper Lig,Besiktas JK,Brazil,Série B,Club de Regatas Vasco da Gama,free transfer
Byron Castillo,Right-Back,23,2,Ecuador,Serie A Segunda Etapa,Barcelona SC Guayaquil,Mexico,Liga MX Apertura,Club León FC,2
Joao Rojas,Left Winger,24,2,Ecuador,Serie A Segunda Etapa,CS Emelec,Mexico,Liga MX Apertura,CF Monterrey,2
Luca Pfeiffer,Centre-Forward,25,2,Denmark,Superligaen,FC Midtjylland,Germany,Bundesliga,VfB Stuttgart,2
Mario Balotelli,Centre-Forward,32,2,Turkey,Süper Lig,Adana Demirspor,Switzerland,Super League,FC Sion,2
Gustavo Henrique,Centre-Back,29,2,Brazil,Série A,Clube de Regatas do Flamengo,Turkey,Süper Lig,Fenerbahce SK,1
Raúl Moro,Left Winger,19,2,Italy,Serie A,SS Lazio,Italy,Serie B,Ternana Calcio,0.33
Carel Eiting,Defensive Midfield,24,2,England,Championship,Huddersfield Town,Netherlands,Eredivisie,FC Volendam,free transfer
Ilzat Akhmetov,Attacking Midfield,24,2,Russia,Premier Liga,CSKA Moscow,Russia,Premier Liga,FK Krasnodar,free transfer
Yvon Mvogo,Goalkeeper,28,2,Germany,Bundesliga,RB Leipzig,France,Ligue 1,FC Lorient,?
Juan Ignacio Méndez,Central Midfield,25,2,Argentina,Liga Profesional,Club Atlético Talleres,Argentina,Liga Profesional,CA San Lorenzo de Almagro,free transfer
Sam Larsson,Left Winger,29,2,China,Super League,Dalian Professional,Turkey,Süper Lig,Antalyaspor,free transfer
Lautaro Morales,Goalkeeper,22,2,Argentina,Liga Profesional,Club Atlético Lanús,Argentina,Liga Profesional,CA Newell's Old Boys,loan transfer
Sean Klaiber,Right-Back,28,2,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,FC Utrecht,free transfer
Panagiotis Retsos,Centre-Back,24,2,Italy,Serie A,Hellas Verona,Greece,Super League 1,Olympiacos Piraeus,loan transfer
Fabio Depaoli,Right-Back,25,2,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,loan transfer
Armando Izzo,Centre-Back,30,2,Italy,Serie A,Torino FC,Italy,Serie A,AC Monza,loan transfer
Mikael,Centre-Forward,23,2,Brazil,Série B,Sport Club do Recife,Italy,Serie A,US Salernitana 1919,2
Achraf Dari,Centre-Back,23,1,Morocco,Botola Pro Inwi,Wydad Casablanca,France,Ligue 1,Stade Brestois 29,2
Assan Ceesay,Centre-Forward,28,2,Switzerland,Super League,FC Zürich,Italy,Serie A,US Lecce,free transfer
Sofiane Hanni,Attacking Midfield,31,2,Qatar,Stars League,Al-Gharafa SC,Qatar,Stars League,Al-Ahli SC,free transfer
Fousseni Diabaté,Right Winger,26,2,Turkey,Süper Lig,Trabzonspor,Serbia,Super liga Srbije,FK Partizan Belgrade,free transfer
Leonardo Mancuso,Centre-Forward,30,2,Italy,Serie A,AC Monza,Italy,Serie B,Como 1907,loan transfer
Emmanuel Agbadou,Centre-Back,25,2,Belgium,Jupiler Pro League,KAS Eupen,France,Ligue 1,Stade Reims,2
Borja Garcés,Centre-Forward,22,2,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,CD Tenerife,loan transfer
Ben Davies,Centre-Back,26,2,England,Premier League,Liverpool FC,Scotland,Premiership,Rangers FC,4
Nicolás Fernández Mercau,Left-Back,22,2,Argentina,Liga Profesional,CA San Lorenzo de Almagro,Spain,LaLiga,Elche CF,4
Marko Rakonjac,Centre-Forward,22,1,Serbia,Super liga Srbije,FK Cukaricki,Russia,Premier Liga,Lokomotiv Moscow,2
Tiago Volpi,Goalkeeper,31,2,Brazil,Série A,São Paulo Futebol Clube,Mexico,Liga MX Apertura,Deportivo Toluca,2
Filip Ugrinic,Left Midfield,23,2,Switzerland,Super League,FC Luzern,Switzerland,Super League,BSC Young Boys,2
Pedro Pereira,Right-Back,24,2,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AC Monza,2
Robert Ljubicic,Central Midfield,22,2,Austria,Bundesliga,Rapid Vienna,Croatia,SuperSport HNL,GNK Dinamo Zagreb,2
Kilian Fischer,Right-Back,21,2,Germany,2. Bundesliga,1.FC Nuremberg,Germany,Bundesliga,VfL Wolfsburg,2
Zian Flemming,Attacking Midfield,23,2,Netherlands,Eredivisie,Fortuna Sittard,England,Championship,Millwall FC,2
Thijs Dallinga,Centre-Forward,21,1,Netherlands,Eredivisie,Excelsior Rotterdam,France,Ligue 1,FC Toulouse,2
Diego Valencia,Centre-Forward,22,0.9,Chile,Primera División,CD Universidad Católica,Italy,Serie A,US Salernitana 1919,2
Mickaël Biron,Centre-Forward,24,0.9,Belgium,Jupiler Pro League,KV Oostende,Belgium,Challenger Pro League,RWD Molenbeek,2
Víctor Méndez,Defensive Midfield,22,2,Chile,Primera División,Unión Española,Russia,Premier Liga,CSKA Moscow,2
Alex Santana,Central Midfield,27,2,Bulgaria,efbet Liga,Ludogorets Razgrad,Brazil,Série A,Club Athletico Paranaense,2
Joel Pohjanpalo,Centre-Forward,27,2,Germany,Bundesliga,Bayer 04 Leverkusen,Italy,Serie B,Venezia FC,2
Harry Toffolo,Left-Back,26,2,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,2
Mauro Laínez,Left Winger,26,2,Mexico,Liga MX Apertura,CF América,Mexico,Liga MX Apertura,FC Juárez,2
Marcus Ingvartsen,Centre-Forward,26,2,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,1.FSV Mainz 05,2
William Böving,Left Winger,19,2,Denmark,Superligaen,FC Copenhagen,Austria,Bundesliga,SK Sturm Graz,2
Thomas Ouwejan,Left-Back,25,2,Netherlands,Eredivisie,AZ Alkmaar,Germany,Bundesliga,FC Schalke 04,2
Gianluca Lapadula,Centre-Forward,32,2,Italy,Serie B,Benevento Calcio,Italy,Serie B,Cagliari Calcio,2
Niclas Eliasson,Left Winger,26,2,France,Ligue 2,Nîmes Olympique,Greece,Super League 1,AEK Athens,2
Haji Wright,Centre-Forward,24,2,Denmark,1.Division,SönderjyskE,Turkey,Süper Lig,Antalyaspor,1
Dario Saric,Central Midfield,25,2,Italy,Serie B,Ascoli Calcio,Italy,Serie B,Palermo FC,1
Steven Zuber,Left Winger,30,2,Germany,Bundesliga,Eintracht Frankfurt,Greece,Super League 1,AEK Athens,1
Hrvoje Babec,Defensive Midfield,22,2,Croatia,SuperSport HNL,HNK Gorica,Latvia,Virsliga,Riga FC,1
Samuele Birindelli,Right-Back,22,2,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,AC Monza,1
Mounir Chouiar,Left Winger,23,2,France,Ligue 2,Dijon FCO,Turkey,Süper Lig,Istanbul Basaksehir FK,1
Dembo Darboe,Centre-Forward,23,2,Belarus,Vysheyshaya Liga,Shakhter Soligorsk,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),1
Lei Wu,Left Winger,30,2,Spain,LaLiga,RCD Espanyol Barcelona,China,Super League,Shanghai Port,1
Miguel Merentiel,Centre-Forward,26,2,Argentina,Liga Profesional,Defensa y Justicia,Brazil,Série A,Sociedade Esportiva Palmeiras,1
Afonso Sousa,Attacking Midfield,22,2,Portugal,Liga Sabseg,B SAD,Poland,Ekstraklasa,Lech Poznan,1
Rubén Alcaraz,Central Midfield,31,2,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,1
Mijat Gacinovic,Attacking Midfield,27,2,Germany,Bundesliga,TSG 1899 Hoffenheim,Greece,Super League 1,AEK Athens,1
Víctor Chust,Centre-Back,22,2,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,1
Nuno Santos,Attacking Midfield,23,2,Portugal,Liga Portugal,SL Benfica,United States,MLS,Charlotte FC,1
Kiko Femenía,Right-Back,31,2,England,Championship,Watford FC,Spain,LaLiga,Villarreal CF,0.98
Sebastian Lletget,Central Midfield,29,2,United States,MLS,New England Revolution,United States,MLS,FC Dallas,0.546
Fran Villalba,Attacking Midfield,24,2,England,Championship,Birmingham City,Spain,LaLiga2,Sporting Gijón,0.5
Philipp Förster,Attacking Midfield,27,2,Germany,Bundesliga,VfB Stuttgart,Germany,Bundesliga,VfL Bochum,0.5
Javi Hernández,Left-Back,24,2,Spain,LaLiga2,CD Leganés,Spain,LaLiga,Girona FC,0.5
Muhammed Gümüskaya,Central Midfield,21,2,Turkey,Süper Lig,Fenerbahce SK,Belgium,Jupiler Pro League,KVC Westerlo,0.5
Makhtar Gueye,Centre-Forward,24,2,Belgium,Jupiler Pro League,KV Oostende,Spain,LaLiga2,Real Zaragoza,0.3
Fran Villalba,Attacking Midfield,24,2,Spain,LaLiga2,Sporting Gijón,Spain,LaLiga2,Málaga CF,0.15
Mamadou Coulibaly,Central Midfield,23,2,Italy,Serie A,US Salernitana 1919,Italy,Serie B,Ternana Calcio,0.1
Finn Ole Becker,Central Midfield,22,2,Germany,2. Bundesliga,FC St. Pauli,Germany,Bundesliga,TSG 1899 Hoffenheim,free transfer
Jonas Martin,Defensive Midfield,32,2,France,Ligue 1,Stade Rennais FC,France,Ligue 1,LOSC Lille,free transfer
Sandi Lovric,Central Midfield,24,2,Switzerland,Super League,FC Lugano,Italy,Serie A,Udinese Calcio,free transfer
Leo Greiml,Centre-Back,20,2,Austria,Bundesliga,Rapid Vienna,Germany,Bundesliga,FC Schalke 04,free transfer
Alessandro Schöpf,Central Midfield,28,2,Germany,2. Bundesliga,Arminia Bielefeld,Canada,MLS,Vancouver Whitecaps FC,free transfer
Denis Cheryshev,Left Winger,31,2,Spain,LaLiga,Valencia CF,Italy,Serie B,Venezia FC,free transfer
Hördur Magnússon,Centre-Back,29,2,Russia,Premier Liga,CSKA Moscow,Greece,Super League 1,Panathinaikos Athens,free transfer
Andriy Yarmolenko,Right Winger,32,2,England,Premier League,West Ham United,United Arab Emirates,UAE Pro League,Al-Ain FC,free transfer
Alfie Mawson,Centre-Back,28,2,England,Premier League,Fulham FC,England,League One,Wycombe Wanderers,free transfer
Magomed Ozdoev,Central Midfield,29,2,Russia,Premier Liga,Zenit St. Petersburg,Turkey,Süper Lig,Fatih Karagümrük,free transfer
Brian Oliván,Left-Back,28,2,Spain,LaLiga,RCD Mallorca,Spain,LaLiga,RCD Espanyol Barcelona,free transfer
Mathias Pereira Lage,Right Midfield,25,2,France,Ligue 1,Angers SCO,France,Ligue 1,Stade Brestois 29,free transfer
Gédéon Kalulu,Right-Back,24,2,France,Ligue 1,AC Ajaccio,France,Ligue 1,FC Lorient,free transfer
José Esquivel,Defensive Midfield,24,2,Mexico,Liga MX Apertura,FC Juárez,Mexico,Liga MX Apertura,Club Necaxa,free transfer
Daniel Bessa,Central Midfield,29,2,Italy,Serie A,Hellas Verona,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,free transfer
Rubén Peña,Right-Back,30,2,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,free transfer
Idekel Domínguez,Right-Back,22,2,Mexico,Liga MX Apertura,Club Necaxa,Mexico,Liga MX Apertura,Atlas Guadalajara,?
Vital Nsimba,Left-Back,29,2,France,Ligue 1,Clermont Foot 63,France,Ligue 2,FC Girondins Bordeaux,free transfer
Tiago Dantas,Central Midfield,21,2,Portugal,Liga Portugal,SL Benfica,Greece,Super League 1,PAOK Thessaloniki,loan transfer
Edison Flores,Left Winger,28,2,United States,MLS,D.C. United,Mexico,Liga MX Apertura,Atlas Guadalajara,?
Andy Rinomhota,Central Midfield,25,2,England,Championship,Reading FC,Wales,Championship,Cardiff City,free transfer
Marcos Guilherme,Left Winger,26,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,São Paulo Futebol Clube,free transfer
Víctor Gómez,Right-Back,22,2,Spain,LaLiga,RCD Espanyol Barcelona,Portugal,Liga Portugal,SC Braga,loan transfer
Bas Dost,Centre-Forward,33,2,Belgium,Jupiler Pro League,Club Brugge KV,Netherlands,Eredivisie,FC Utrecht,free transfer
Aitor Fernández,Goalkeeper,31,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,CA Osasuna,free transfer
Ryan Nyambe,Right-Back,24,2,England,Championship,Blackburn Rovers,England,Championship,Wigan Athletic,free transfer
Tommy Doyle,Central Midfield,20,2,England,Premier League 2,Manchester City U21,England,Championship,Sheffield United,loan transfer
Mauro Manotas,Centre-Forward,26,2,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Atlas Guadalajara,?
Jérémy Gélin,Centre-Back,25,2,France,Ligue 1,Stade Rennais FC,France,Ligue 2,Amiens SC,free transfer
Iñigo Córdoba,Left Winger,25,2,Spain,LaLiga,Athletic Bilbao,Netherlands,Eredivisie,Fortuna Sittard,free transfer
Vladimir Loroña,Right-Back,23,2,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Tigres UANL,?
Jonathan Panzo,Centre-Back,21,2,England,Premier League,Nottingham Forest,England,Championship,Coventry City,loan transfer
Francisco Ginella,Central Midfield,23,2,United States,MLS,Los Angeles FC,Uruguay,Primera División,Club Nacional,loan transfer
Martín Aguirregabiria,Right-Back,26,2,Spain,LaLiga2,Deportivo Alavés,Portugal,Liga Portugal,FC Famalicão,free transfer
Javier López,Attacking Midfield,27,2,Mexico,Liga MX Apertura,Deportivo Guadalajara,Mexico,Liga MX Apertura,CF Pachuca,?
Moritz Jenz,Centre-Back,23,2,France,Ligue 1,FC Lorient,Scotland,Premiership,Celtic FC,loan transfer
Jamie Shackleton,Central Midfield,22,2,England,Premier League,Leeds United,England,Championship,Millwall FC,loan transfer
Ben Mee,Centre-Back,32,2,England,Championship,Burnley FC,England,Premier League,Brentford FC,free transfer
Achraf Bencharki,Left Winger,27,2,Egypt,Premier League,Zamalek SC,United Arab Emirates,UAE Pro League,Al-Jazira (Abu Dhabi),free transfer
Bruno Gomes,Defensive Midfield,21,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,loan transfer
Dorian Dessoleil,Centre-Back,29,2,Belgium,Jupiler Pro League,Royal Antwerp FC,Belgium,Jupiler Pro League,KV Kortrijk,loan transfer
Diego Lainez,Right Winger,22,2,Spain,LaLiga,Real Betis Balompié,Portugal,Liga Portugal,SC Braga,loan transfer
Cesc Fàbregas,Central Midfield,35,2,Monaco,Ligue 1,AS Monaco,Italy,Serie B,Como 1907,free transfer
Álvaro González,Centre-Back,32,2,France,Ligue 1,Olympique Marseille,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Gabriel Silva,Centre-Forward,20,2,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,CD Santa Clara,loan transfer
Santiago Colombatto,Defensive Midfield,25,2,Mexico,Liga MX Apertura,Club León FC,Portugal,Liga Portugal,FC Famalicão,loan transfer
Michal Karbownik,Right-Back,21,2,England,Premier League,Brighton & Hove Albion,Germany,2. Bundesliga,Fortuna Düsseldorf,loan transfer
Deyverson,Centre-Forward,31,2,Brazil,Série A,Sociedade Esportiva Palmeiras,Brazil,Série A,Cuiabá Esporte Clube (MT),free transfer
Jorge Meré,Centre-Back,25,2,Mexico,Liga MX Apertura,CF América,Mexico,Liga MX Apertura,Mazatlán FC,loan transfer
Sidcley,Left-Back,29,2,Ukraine,Premier Liga,Dynamo Kyiv,Brazil,Série A,Cuiabá Esporte Clube (MT),free transfer
Richie Laryea,Right-Back,27,2,England,Premier League,Nottingham Forest,Canada,MLS,Toronto FC,loan transfer
Isaac Atanga,Right Winger,22,2,United States,MLS,FC Cincinnati,Turkey,1.Lig,Göztepe,loan transfer
Martin Boyle,Right Winger,29,2,Saudi Arabia,Without League,Al-Faisaly FC,Scotland,Premiership,Hibernian FC,?
Gonzalo Escalante,Central Midfield,29,2,Italy,Serie A,SS Lazio,Italy,Serie A,US Cremonese,loan transfer
Darlan,Defensive Midfield,24,2,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Brazil,Série B,Associação Chapecoense de Futebol,loan transfer
Dominique Heintz,Centre-Back,28,2,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,VfL Bochum,loan transfer
Nico Serrano,Left Winger,19,2,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga2,CD Mirandés,loan transfer
Antonio Candreva,Right Midfield,35,2,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,loan transfer
Keinan Davis,Centre-Forward,24,2,England,Premier League,Aston Villa,England,Championship,Watford FC,loan transfer
Gideon Mensah,Left-Back,24,2,Austria,Bundesliga,Red Bull Salzburg,France,Ligue 1,AJ Auxerre,?
Joe Lolley,Right Winger,29,2,England,Premier League,Nottingham Forest,Australia,A-League Men,Sydney FC,?
Alberto Grassi,Central Midfield,27,2,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,FC Empoli,loan transfer
Ryan Woods,Defensive Midfield,28,2,England,Championship,Birmingham City,England,Championship,Hull City,?
Yann Gboho,Attacking Midfield,21,2,France,Ligue 1,Stade Rennais FC,Belgium,Jupiler Pro League,Cercle Brugge ,free transfer
Dani Gómez,Centre-Forward,24,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
João Carvalho,Attacking Midfield,25,2,Greece,Super League 1,Olympiacos Piraeus,Portugal,Liga Portugal,GD Estoril Praia,loan transfer
Matheus Babi,Centre-Forward,25,2,Brazil,Série A,Club Athletico Paranaense,Portugal,Liga Portugal,CD Santa Clara,loan transfer
Nicolas N'Koulou,Centre-Back,32,2,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,free transfer
Zouhair Feddal,Centre-Back,32,2,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,Real Valladolid CF,free transfer
José Carlos Lazo,Left Winger,26,2,Spain,LaLiga,UD Almería,Spain,LaLiga,RCD Espanyol Barcelona,?
Mamadou Mbacke,Centre-Back,19,2,United States,MLS,Los Angeles FC,Spain,LaLiga2,Villarreal CF B,loan transfer
Marco John,Left-Back,20,2,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,2. Bundesliga,SpVgg Greuther Fürth,loan transfer
Fredrik Björkan,Left-Back,24,2,Germany,Bundesliga,Hertha BSC,Netherlands,Eredivisie,Feyenoord Rotterdam,loan transfer
Pere Pons,Defensive Midfield,29,2,Spain,LaLiga2,Deportivo Alavés,Cyprus,Protathlima Cyta,AEK Larnaca,free transfer
Mariusz Stepinski,Centre-Forward,27,2,Italy,Serie A,Hellas Verona,Cyprus,Protathlima Cyta,Aris Limassol,loan transfer
Albian Ajeti,Centre-Forward,25,2,Scotland,Premiership,Celtic FC,Austria,Bundesliga,SK Sturm Graz,loan transfer
Emiliano Martínez,Defensive Midfield,23,2,Brazil,Série A,Red Bull Bragantino,Denmark,Superligaen,FC Midtjylland,loan transfer
Yan Valery,Right-Back,23,2,England,Premier League,Southampton FC,France,Ligue 1,Angers SCO,?
Toni Villa,Left Winger,27,2,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Girona FC,free transfer
Juan José Perea,Centre-Forward,22,1,Greece,Super League 1,PAS Giannina,Germany,Bundesliga,VfB Stuttgart,2
Arthur Chaves,Centre-Back,21,0.05,Brazil,Série A,Avaí Futebol Clube (SC),Portugal,Liga Sabseg,Académico Viseu FC,2
Matías Cóccaro,Centre-Forward,24,2,Uruguay,Primera División,Montevideo City Torque,Argentina,Liga Profesional,CA Huracán,0.465
Andrea Colpani,Central Midfield,23,2,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,?
Antonino La Gumina,Centre-Forward,26,2,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,loan transfer
Luca Mazzitelli,Central Midfield,26,2,Italy,Serie A,AC Monza,Italy,Serie B,Frosinone Calcio,loan transfer
Mees de Wit,Left-Back,24,1,Netherlands,Keuken Kampioen Divisie,PEC Zwolle,Netherlands,Eredivisie,AZ Alkmaar,2
Daniel Ballard,Centre-Back,22,2,England,Premier League 2,Arsenal FC U21,England,Championship,Sunderland AFC,2
Josh Bowler,Right Winger,23,2,England,Championship,Blackpool FC,England,Premier League,Nottingham Forest,2
David Nemeth,Centre-Back,21,2,Germany,Bundesliga,1.FSV Mainz 05,Germany,2. Bundesliga,FC St. Pauli,1
Danny da Costa,Right-Back,28,2,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,free transfer
Jure Balkovec,Left-Back,27,2,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Alanyaspor,free transfer
Javier Salas,Defensive Midfield,28,2,Mexico,Liga MX Apertura,Puebla FC,Mexico,Liga MX Apertura,FC Juárez,?
Ángel González,Right Winger,28,2,Argentina,Liga Profesional,Club Estudiantes de La Plata,Ecuador,Serie A Segunda Etapa,LDU Quito,?
Benjamin Tetteh,Centre-Forward,25,2,Turkey,1.Lig,Yeni Malatyaspor,England,Championship,Hull City,free transfer
Andi Zeqiri,Centre-Forward,23,2,England,Premier League,Brighton & Hove Albion,Switzerland,Super League,FC Basel 1893,loan transfer
Pedro Pereira,Right-Back,24,2,Italy,Serie A,AC Monza,Turkey,Süper Lig,Alanyaspor,loan transfer
Wilfried Kanga,Centre-Forward,24,2,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,Hertha BSC,4
Gastón Brugman,Defensive Midfield,29,2,Italy,Serie B,Parma Calcio 1913,United States,MLS,Los Angeles Galaxy,2
Léo Duarte,Centre-Back,25,2,Italy,Serie A,AC Milan,Turkey,Süper Lig,Istanbul Basaksehir FK,2
Pieros Sotiriou,Centre-Forward,29,2,Bulgaria,efbet Liga,Ludogorets Razgrad,Japan,J1 League,Sanfrecce Hiroshima,2
Sebastian Polter,Centre-Forward,31,2,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,FC Schalke 04,1
Bryan Linssen,Centre-Forward,31,2,Netherlands,Eredivisie,Feyenoord Rotterdam,Japan,J1 League,Urawa Red Diamonds,1
Jean-Luc Dompé,Left Winger,27,2,Belgium,Jupiler Pro League,SV Zulte Waregem,Germany,2. Bundesliga,Hamburger SV,1
Lorenzo Pirola,Centre-Back,20,2,Italy,Serie A,Inter Milan,Italy,Serie A,US Salernitana 1919,0.9
Samuel Bastien,Central Midfield,25,2,Belgium,Jupiler Pro League,Standard Liège,England,Championship,Burnley FC,0.8
Kristijan Bistrovic,Central Midfield,24,2,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,US Lecce,0.3
Paul Seguin,Central Midfield,27,2,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,1.FC Union Berlin,free transfer
Milos Pantovic,Attacking Midfield,25,2,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FC Union Berlin,free transfer
Josh Laurent,Central Midfield,27,2,England,Championship,Reading FC,England,Championship,Stoke City,free transfer
Josep Martínez,Goalkeeper,24,2,Germany,Bundesliga,RB Leipzig,Italy,Serie B,Genoa CFC,loan transfer
Charalampos Lykogiannis,Left-Back,28,2,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Bologna FC 1909,free transfer
Koni De Winter,Centre-Back,20,2,Italy,Serie C - A,Juventus Next Gen,Italy,Serie A,FC Empoli,loan transfer
Borja Sainz,Left Winger,21,2,Spain,LaLiga2,Deportivo Alavés,Turkey,Süper Lig,Giresunspor,?
Paulo Victor,Left-Back,21,2,Brazil,Série A,Sport Club Internacional,Brazil,Série B,Club de Regatas Vasco da Gama,loan transfer
Kjell Scherpen,Goalkeeper,22,2,England,Premier League,Brighton & Hove Albion,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Domingos Quina,Central Midfield,22,2,England,Championship,Watford FC,Spain,LaLiga,Elche CF,loan transfer
Leo Stulac,Defensive Midfield,27,2,Italy,Serie A,FC Empoli,Italy,Serie B,Palermo FC,loan transfer
Ishak Belfodil,Centre-Forward,30,2,Germany,Bundesliga,Hertha BSC,Qatar,Stars League,Al-Gharafa SC,free transfer
Niels Nkounkou,Left-Back,21,2,England,Premier League,Everton FC,Wales,Championship,Cardiff City,loan transfer
Landry Dimata,Centre-Forward,24,2,Spain,LaLiga,RCD Espanyol Barcelona,Netherlands,Eredivisie,NEC Nijmegen,loan transfer
Abdul-Rahman Baba,Left-Back,28,2,England,Premier League,Chelsea FC,England,Championship,Reading FC,loan transfer
Pietro Beruatto,Left-Back,23,2,Italy,Serie C - A,Juventus Next Gen,Italy,Serie B,Pisa Sporting Club,2
Jerónimo Cacciabue,Central Midfield,24,2,Argentina,Liga Profesional,CA Newell's Old Boys,Poland,Ekstraklasa,Miedz Legnica,loan transfer
Sofian Kiyine,Central Midfield,24,2,Italy,Serie A,SS Lazio,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,?
Jordy Caicedo,Centre-Forward,24,2,Bulgaria,efbet Liga,CSKA-Sofia,Mexico,Liga MX Apertura,Tigres UANL,2
Gabriel Florentín,Attacking Midfield,23,2,Argentina,Liga Profesional,AA Argentinos Juniors,Russia,Premier Liga,FK Orenburg,2
Ousmane Camara,Centre-Back,19,2,France,Ligue 2,Paris FC,France,Ligue 1,Angers SCO,2
