name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Michael Folorunsho,Central Midfield,24,1,Italy,Serie A,SSC Napoli,Italy,Serie B,SSC Bari,loan transfer
Tiago Gouveia,Right Winger,21,1,Portugal,Liga Sabseg,SL Benfica B,Portugal,Liga Portugal,GD Estoril Praia,loan transfer
Arthur Okonkwo,Goalkeeper,20,1,England,Premier League 2,Arsenal FC U21,England,League Two,Crewe Alexandra,loan transfer
Fábio Gomes,Centre-Forward,25,1,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série B,Club de Regatas Vasco da Gama,loan transfer
Andre Poko,Defensive Midfield,29,1,Turkey,1.Lig,Altay SK,Saudi Arabia,Professional League,Al-Khaleej,free transfer
Cote,Left-Back,32,1,Spain,LaLiga,CA Osasuna,Spain,LaLiga2,Sporting Gijón,free transfer
Marcinho,Right-Back,26,1,Cyprus,Protathlima Cyta,Pafos FC,Brazil,Série B,Esporte Clube Bahia,loan transfer
Jonas Toró,Left Winger,23,1,Brazil,Série A,São Paulo Futebol Clube,Greece,Super League 1,Panathinaikos Athens,free transfer
Braian Ojeda,Central Midfield,22,1,England,Premier League,Nottingham Forest,United States,MLS,Real Salt Lake City,loan transfer
Lenny Pintor,Left Winger,21,1,France,Ligue 1,Olympique Lyon,France,Ligue 2,AS Saint-Étienne,free transfer
Sergio Carreira,Right-Back,21,1,Spain,LaLiga,Celta de Vigo,Spain,LaLiga2,Villarreal CF B,loan transfer
Kyle Duncan,Right-Back,24,1,Belgium,Jupiler Pro League,KV Oostende,United States,MLS,New York Red Bulls,loan transfer
Lautaro Blanco,Left-Back,23,1,Spain,LaLiga,Elche CF,Argentina,Liga Profesional,CA Rosario Central,loan transfer
Fede San Emeterio,Central Midfield,25,1,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,free transfer
